POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;0;90;582;452;438;574
0;0;0;90;585;453;437;577
0;0;0;90;583;454;439;574
0;0;0;90;582;454;438;574
0;0;0;90;585;454;438;575
0;0;0;90;583;453;439;574
0;0;0;90;583;454;437;573
0;0;0;90;584;454;437;575
0;0;0;90;584;453;438;573
0;0;0;90;584;453;437;573
0;0;0;90;584;452;439;573
0;0;0;90;584;455;439;576
0;0;0;90;585;452;436;574
0;0;0;90;584;452;437;573
0;0;0;90;585;454;440;571
0;0;0;90;584;454;434;573
0;0;0;90;584;452;438;574
0;0;0;90;585;452;439;575
0;0;0;90;585;454;437;574
0;0;0;90;585;451;438;572
0;0;0;90;586;454;439;574
0;0;0;90;584;453;437;575
0;0;0;90;585;452;439;574
0;0;0;90;583;452;438;573
0;0;0;90;584;453;439;573
0;0;0;90;585;451;438;572
0;0;0;90;584;450;438;574
0;0;0;90;585;453;440;575
0;0;0;90;586;454;438;574
0;0;0;90;583;451;438;572
0;0;0;90;585;453;439;575
0;0;0;90;584;453;439;574
0;0;0;90;583;452;438;574
0;0;0;90;584;454;437;575
0;0;0;90;583;454;441;572
0;0;0;90;584;454;437;575
0;0;0;90;582;450;436;573
0;0;0;90;583;453;438;575
0;0;0;90;585;454;437;573
0;0;0;90;583;453;438;572
0;0;0;90;582;453;438;575
0;0;0;90;585;453;437;574
0;0;0;90;584;453;436;572
0;0;0;90;584;452;438;572
0;0;0;90;584;453;441;574
0;0;0;90;585;452;439;576
0;0;0;90;583;452;436;574
0;0;0;90;585;453;438;573
0;0;0;90;585;454;438;574
0;0;0;90;582;452;440;573
0;0;0;90;583;453;440;575
0;0;0;90;585;456;437;576
0;0;0;90;585;452;435;572
0;0;0;90;586;452;438;574
0;0;0;90;584;454;439;576
0;0;0;90;583;453;438;572
0;0;0;90;584;453;437;574
0;0;0;90;585;453;438;574
0;0;0;90;584;453;439;574
0;0;0;90;582;452;436;573
0;0;0;90;584;451;438;575
0;0;0;90;588;454;439;575
0;0;0;90;583;452;438;573
0;0;0;90;583;451;437;574
0;0;0;90;585;455;438;576
0;0;0;90;584;454;439;576
0;0;0;90;584;452;437;573
0;0;0;90;585;451;438;576
0;0;0;90;584;453;437;575
0;0;0;90;584;452;438;574
0;0;0;90;584;453;438;575
0;0;0;90;585;453;438;574
0;0;0;90;582;453;437;574
0;0;0;90;585;451;438;573
0;0;0;90;586;455;439;574
0;0;0;90;584;454;438;574
0;0;0;90;583;451;438;573
0;0;0;90;584;452;439;575
0;0;0;90;585;453;438;574
0;0;0;90;582;451;436;571
0;0;0;90;584;453;436;576
0;0;0;90;584;451;438;573
0;0;0;90;583;454;436;572
0;0;0;90;584;453;438;573
0;0;0;90;584;453;439;575
0;0;0;90;584;453;440;574
0;0;0;90;586;454;438;574
0;0;0;90;584;453;439;576
0;0;0;90;584;453;439;574
0;0;0;90;584;451;440;574
0;0;0;90;586;452;440;575
0;0;0;90;583;453;439;575
0;0;0;90;584;453;439;572
0;0;0;90;584;452;438;575
0;0;0;90;586;454;439;572
0;0;0;90;584;453;436;574
0;0;0;90;582;455;437;575
0;0;0;90;585;454;441;575
0;0;0;90;584;454;439;575
0;0;0;90;584;450;437;575
0;0;0;90;583;454;440;574
0;0;0;90;587;452;437;574
0;0;0;90;586;454;437;574
0;0;0;90;583;451;438;574
0;0;0;90;583;455;437;577
0;0;0;90;584;452;437;572
0;0;0;90;582;451;438;573
0;0;0;90;586;450;439;575
0;0;0;90;585;453;438;575
0;0;0;90;585;452;440;573
0;0;0;90;584;453;437;575
0;0;0;90;584;453;437;576
0;0;0;90;584;452;437;572
0;0;0;90;585;452;438;573
0;0;0;90;584;453;441;576
0;0;0;90;584;452;440;574
0;0;0;90;583;454;439;574
0;0;0;90;584;452;440;574
0;0;0;90;585;453;437;574
0;0;0;90;583;451;436;576
0;0;0;90;583;453;436;574
0;0;0;90;584;454;440;572
0;0;0;90;582;455;438;575
0;0;0;90;584;451;437;573
0;0;0;90;586;453;437;575
0;0;0;90;584;452;439;573
0;0;0;90;585;453;438;575
0;0;0;90;584;456;440;574
0;0;0;90;584;454;439;574
0;0;0;90;583;450;440;572
0;0;0;90;584;453;438;574
0;0;0;90;584;455;441;576
0;0;0;90;584;453;439;575
0;0;0;90;583;453;437;574
0;0;0;90;585;454;438;574
0;0;0;90;585;453;437;576
0;0;0;90;581;452;437;574
0;0;0;90;586;452;438;576
0;0;0;90;585;455;437;572
0;0;0;90;585;451;440;571
0;0;0;90;585;453;437;573
0;0;0;90;585;453;438;574
0;0;0;90;584;450;437;574
0;0;0;90;583;453;438;573
0;0;0;90;583;456;438;574
0;0;0;90;583;453;436;573
0;0;0;90;585;451;438;573
0;0;0;90;586;454;438;576
0;0;0;90;584;453;437;572
0;0;0;90;583;451;437;574
0;0;0;90;584;454;438;575
0;0;0;90;588;453;438;574
0;0;0;90;583;452;436;573
0;0;0;90;583;453;438;575
0;0;0;90;586;456;439;576
0;0;0;90;585;452;438;574
0;0;0;90;584;452;438;573
0;0;0;90;583;453;440;574
0;0;0;90;584;454;438;574
0;0;0;90;583;453;438;575
0;0;0;90;584;453;437;573
0;0;0;90;585;454;440;575
0;0;0;90;583;453;438;572
0;0;0;90;582;451;438;573
0;0;0;90;584;453;438;575
0;0;0;90;583;453;438;573
0;0;0;90;586;452;438;573
0;0;0;90;585;454;438;577
0;0;0;90;585;455;438;574
0;0;0;90;583;451;439;571
0;0;0;90;585;454;438;576
0;0;0;90;583;456;438;574
0;0;0;90;587;453;438;575
0;0;0;90;584;453;440;575
0;0;0;90;585;454;439;576
0;0;0;90;583;451;439;572
0;0;0;90;581;450;437;574
0;0;0;90;585;455;438;573
0;0;0;90;584;452;438;574
0;0;0;90;586;453;435;574
0;0;0;90;585;452;440;575
0;0;0;90;584;451;439;575
0;0;0;90;583;451;439;575
0;0;0;90;584;452;439;575
0;0;0;90;585;454;440;574
0;0;0;90;584;454;436;576
0;0;0;90;584;452;438;574
0;0;0;90;585;452;437;573
0;0;0;90;583;454;436;574
0;0;0;90;582;451;436;573
0;0;0;90;584;453;439;575
0;0;0;90;585;452;437;573
0;0;0;90;583;454;440;570
0;0;0;90;584;453;439;575
0;0;0;90;584;455;437;574
0;0;0;90;584;452;438;575
0;0;0;90;584;451;437;574
0;0;0;90;585;454;439;574
0;0;0;90;584;452;437;572
0;0;0;90;584;454;436;575
0;0;0;90;584;453;441;574
0;0;0;90;584;452;438;575
0;0;0;90;582;450;437;575
0;0;0;90;584;453;439;575
0;0;0;90;583;454;439;574
0;0;0;90;584;453;436;573
0;0;0;90;583;452;438;574
0;0;0;90;586;452;439;575
0;0;0;90;584;455;438;575
0;0;0;90;582;453;438;574
0;0;0;90;586;452;438;574
0;0;0;90;585;453;439;575
0;0;0;90;586;452;437;576
0;0;0;90;582;452;440;574
0;0;0;90;584;454;439;574
0;0;0;90;584;454;436;573
0;0;0;90;583;451;438;573
0;0;0;90;584;454;437;574
0;0;0;90;584;452;436;574
0;0;0;90;583;454;439;572
0;0;0;90;584;454;439;575
0;0;0;90;584;454;438;574
0;0;0;90;582;452;439;572
0;0;0;90;585;452;440;575
0;0;0;90;586;454;439;576
0;0;0;90;585;452;438;572
0;0;0;90;585;454;438;574
0;0;0;90;586;453;437;578
0;0;0;90;585;452;437;575
0;0;0;90;584;453;438;574
0;0;0;90;585;452;438;574
0;0;0;90;584;454;437;574
0;0;0;90;584;451;438;573
0;0;0;90;586;453;439;578
0;0;0;90;587;454;439;574
0;0;0;90;586;453;437;574
0;0;0;90;583;452;438;575
0;0;0;90;585;451;436;576
0;0;0;90;584;452;439;575
0;0;0;90;582;451;437;574
0;0;0;90;584;455;436;573
0;0;0;90;586;453;436;573
0;0;0;90;584;452;435;574
0;0;0;90;584;455;436;575
0;0;0;90;586;453;439;574
0;0;0;90;585;452;435;575
0;0;0;90;584;453;438;573
0;0;0;90;586;454;439;576
0;0;0;90;583;453;439;575
0;0;0;90;583;454;438;575
0;0;0;90;585;454;440;574
0;0;0;90;584;454;437;574
0;0;0;90;582;453;437;573
0;0;0;90;584;453;440;575
0;0;0;90;585;452;440;574
0;0;0;90;585;452;439;575
0;0;0;90;587;453;439;574
0;0;0;90;584;452;438;576
0;0;0;90;583;451;438;574
0;0;0;90;583;452;438;573
0;0;0;90;582;453;441;576
0;0;0;90;586;452;437;574
0;0;0;90;584;450;438;574
0;0;0;90;584;452;438;574
0;0;0;90;584;452;439;574
0;0;0;90;582;451;436;573
0;0;0;90;586;452;438;576
0;0;0;90;585;453;439;575
0;0;0;90;584;452;439;575
0;0;0;90;583;452;438;574
0;0;0;90;586;454;439;573
0;0;0;90;585;454;438;573
0;0;0;90;582;453;437;575
0;0;0;90;584;453;439;574
0;0;0;90;586;452;438;575
0;0;0;90;585;453;438;573
0;0;0;90;584;452;438;576
0;0;0;90;586;455;439;574
0;0;0;90;584;453;438;575
0;0;0;90;582;454;438;575
0;0;0;90;586;455;439;572
0;0;0;90;584;453;440;574
0;0;0;90;586;451;438;574
0;0;0;90;585;455;439;576
0;0;0;90;584;453;438;574
0;0;0;90;584;453;437;573
0;0;0;90;584;454;436;573
0;0;0;90;585;450;437;574
0;0;0;90;585;455;437;574
0;0;0;90;584;453;438;574
0;0;0;90;585;453;437;574
0;0;0;90;583;453;437;575
0;0;0;90;585;453;439;574
0;0;0;90;584;454;438;574
0;0;0;90;583;453;437;574
0;0;0;90;583;452;440;573
0;0;0;90;585;453;438;574
0;0;0;90;586;454;439;575
0;0;0;90;585;451;439;575
0;0;0;90;584;452;438;575
0;0;0;90;583;454;440;574
0;0;0;90;583;453;440;573
0;0;0;90;586;454;438;574
0;0;0;90;584;451;441;576
0;0;0;90;583;454;439;573
0;0;0;90;584;452;438;575
0;0;0;90;582;453;440;573
0;0;0;90;588;457;439;575
0;0;0;90;585;453;438;573
0;0;0;90;584;451;438;575
0;0;0;90;585;455;436;577
0;0;0;90;585;453;435;574
0;0;0;90;584;452;437;574
0;0;0;90;585;454;437;576
0;0;0;90;585;453;439;574
0;0;0;90;583;450;438;573
0;0;0;90;585;454;439;574
0;0;0;90;586;452;438;573
0;0;0;90;583;453;437;571
0;0;0;90;584;453;440;575
0;0;0;90;585;454;439;574
0;0;0;90;584;453;438;574
0;0;0;90;583;453;437;573
0;0;0;90;585;454;440;575
0;0;0;90;585;453;438;574
0;0;0;90;584;453;436;574
0;0;0;90;583;453;437;575
0;0;0;90;587;453;439;574
0;0;0;90;584;450;435;575
0;0;0;90;582;454;438;576
0;0;0;90;584;454;438;573
0;0;0;90;584;452;437;574
0;0;0;90;584;452;438;574
0;0;0;90;586;454;436;574
0;0;0;90;585;453;439;574
0;0;0;90;582;454;435;573
0;0;0;90;583;455;439;575
0;0;0;90;585;453;438;573
0;0;0;90;588;452;434;574
0;0;0;90;583;453;439;576
0;0;0;90;584;451;439;575
0;0;0;90;583;453;438;572
0;0;0;90;585;452;437;573
0;0;0;90;584;454;439;575
0;0;0;90;585;453;439;573
0;0;0;90;582;452;438;573
0;0;0;90;585;452;439;574
0;0;0;90;584;453;438;575
0;0;0;90;582;451;436;572
0;0;0;90;584;453;437;573
0;0;0;90;583;454;440;574
0;0;0;90;582;452;435;573
0;0;0;90;583;452;438;574
0;0;0;90;584;453;441;572
0;0;0;90;584;452;440;574
0;0;0;90;583;453;439;575
0;0;0;90;584;455;439;575
0;0;0;90;585;452;438;573
0;0;0;90;582;452;437;573
0;0;0;90;584;452;438;574
0;0;0;90;588;453;439;573
0;0;0;90;584;453;437;573
0;0;0;90;584;453;438;574
0;0;0;90;585;454;440;576
0;0;0;90;584;453;437;572
0;0;0;90;582;452;440;575
0;0;0;90;583;455;440;573
0;0;0;90;583;454;437;574
0;0;0;90;584;453;439;573
0;0;0;90;584;452;440;575
0;0;0;90;586;452;437;575
0;0;0;90;585;455;437;575
0;0;0;90;583;452;438;573
0;0;0;90;584;455;442;573
0;0;0;90;584;453;438;572
0;0;0;90;583;451;439;574
0;0;0;90;585;453;439;575
0;0;0;90;584;454;438;574
0;0;0;90;585;452;439;574
0;0;0;90;584;452;435;573
0;0;0;90;583;452;439;574
0;0;0;90;582;451;438;573
0;0;0;90;584;453;438;574
0;0;0;90;587;455;437;576
0;0;0;90;585;452;436;573
0;0;0;90;582;451;437;574
0;0;0;90;583;453;437;575
0;0;0;90;584;453;437;573
0;0;0;90;582;452;437;574
0;0;0;90;584;452;437;573
0;0;0;90;586;454;439;574
0;0;0;90;584;452;440;574
0;0;0;90;583;453;437;574
0;0;0;90;584;453;439;573
0;0;0;90;584;453;435;573
0;0;0;90;584;452;436;573
0;0;0;90;584;453;438;575
0;0;0;90;585;453;438;572
0;0;0;90;584;452;438;572
0;0;0;90;584;452;439;577
0;0;0;90;582;452;438;574
0;0;0;90;583;452;437;574
0;0;0;90;584;453;437;575
0;0;0;90;586;454;436;574
0;0;0;90;585;452;436;573
0;0;0;90;580;453;437;576
0;0;0;90;587;452;439;577
0;0;0;90;585;451;438;573
0;0;0;90;582;453;438;574
0;0;0;90;585;452;440;575
0;0;0;90;585;450;437;575
0;0;0;90;582;454;437;572
0;0;0;90;583;453;439;573
0;0;0;90;586;452;439;574
0;0;0;90;584;453;437;575
0;0;0;90;581;452;438;574
0;0;0;90;585;453;439;576
0;0;0;90;585;453;438;575
0;0;0;90;584;450;436;572
0;0;0;90;584;452;442;575
0;0;0;90;584;456;438;575
0;0;0;90;581;452;438;573
0;0;0;90;584;452;438;574
0;0;0;90;586;452;439;574
0;0;0;90;584;453;437;573
0;0;0;90;585;450;439;574
0;0;0;90;585;453;439;575
0;0;0;90;588;454;438;573
0;0;0;90;583;453;437;574
0;0;0;90;584;453;437;576
0;0;0;90;584;454;437;574
0;0;0;90;584;453;435;572
0;0;0;90;583;452;439;575
0;0;0;90;584;455;438;574
0;0;0;90;584;452;437;574
0;0;0;90;584;451;438;574
0;0;0;90;587;453;437;575
0;0;0;90;584;454;439;574
0;0;0;90;584;452;438;574
0;0;0;90;584;451;438;574
0;0;0;90;581;454;440;573
0;0;0;90;584;455;436;574
0;0;0;90;583;455;439;575
0;0;0;90;586;453;437;574
0;0;0;90;586;453;437;575
0;0;0;90;583;452;436;574
0;0;0;90;584;454;438;574
0;0;0;90;585;456;439;575
0;0;0;90;583;454;438;575
0;0;0;90;584;452;439;574
0;0;0;90;583;453;437;576
0;0;0;90;583;451;437;575
0;0;0;90;584;453;437;575
0;0;0;90;584;452;438;574
0;0;0;90;585;454;435;573
0;0;0;90;584;451;437;573
0;0;0;90;585;453;440;574
0;0;0;90;585;453;437;573
0;0;0;90;584;451;440;573
0;0;0;90;583;452;438;575
0;0;0;90;583;453;438;573
0;0;0;90;585;452;438;574
0;0;0;90;583;452;438;574
0;0;0;90;585;453;438;576
0;0;0;90;583;453;438;571
0;0;0;90;584;451;438;574
0;0;0;90;583;455;439;574
0;0;0;90;584;453;438;574
0;0;0;90;584;452;439;574
0;0;0;90;585;453;437;575
0;0;0;90;585;452;439;575
0;0;0;90;585;454;437;574
0;0;0;90;583;452;438;574
0;0;0;90;585;453;438;575
0;0;0;90;584;452;437;573
0;0;0;90;583;452;437;574
0;0;0;90;586;453;436;573
0;0;0;90;586;454;438;575
0;0;0;90;583;453;440;574
0;0;0;90;585;453;438;576
0;0;0;90;584;455;437;575
0;0;0;90;585;453;438;573
0;0;0;90;583;453;439;574
0;0;0;90;585;453;438;575
0;0;0;90;585;452;438;574
0;0;0;90;581;454;437;573
0;0;0;90;584;452;439;575
0;0;0;90;584;453;437;574
0;0;0;90;583;452;438;574
0;0;0;90;584;453;439;574
0;0;0;90;585;454;438;575
0;0;0;90;582;451;438;574
0;0;0;90;584;451;438;574
0;0;0;90;585;454;440;574
0;0;0;90;585;453;438;573
0;0;0;90;582;453;439;574
0;0;0;90;584;452;439;575
0;0;0;90;586;452;440;575
0;0;0;90;582;452;436;575
0;0;0;90;586;453;438;574
0;0;0;90;586;454;440;575
0;0;0;90;584;453;438;574
0;0;0;90;584;452;438;574
0;0;0;90;584;454;440;573
0;0;0;90;585;453;436;574
0;0;0;90;583;451;438;573
0;0;0;90;583;453;439;575
0;0;0;90;584;453;438;572
0;0;0;90;583;452;436;576
0;0;0;90;584;453;438;575
0;0;0;90;583;452;439;574
0;0;0;90;584;454;437;573
0;0;0;90;584;453;437;574
0;0;0;90;585;453;436;575
0;0;0;90;585;452;437;574
0;0;0;90;582;454;438;573
0;0;0;90;585;452;440;575
0;0;0;90;585;452;439;575
0;0;0;90;582;451;437;573
0;0;0;90;583;453;436;572
0;0;0;90;582;453;439;575
0;0;0;90;584;452;436;573
0;0;0;90;584;453;438;575
0;0;0;90;585;453;438;575
0;0;0;90;584;453;438;575
0;0;0;90;582;453;437;573
0;0;0;90;587;455;439;573
0;0;0;90;586;454;438;574
0;0;0;90;583;451;438;572
0;0;0;90;586;453;436;573
0;0;0;90;584;457;439;574
0;0;0;90;585;453;439;572
0;0;0;90;582;453;437;574
0;0;0;90;584;452;439;574
0;0;0;90;585;454;436;574
0;0;0;90;584;453;438;575
0;0;0;90;584;455;438;575
0;0;0;90;582;453;439;574
0;0;0;90;585;452;439;574
0;0;0;90;583;454;439;574
0;0;0;90;583;452;438;575
0;0;0;90;581;450;440;574
0;0;0;90;585;452;437;574
0;0;0;90;585;454;440;576
0;0;0;90;584;453;436;573
0;0;0;90;585;453;437;573
0;0;0;90;585;453;439;576
0;0;0;90;586;454;438;574
0;0;0;90;584;454;440;572
0;0;0;90;585;453;437;577
0;0;0;90;584;455;441;575
0;0;0;90;582;453;439;572
0;0;0;90;584;452;438;574
0;0;0;90;585;453;437;573
0;0;0;90;585;453;436;573
0;0;0;90;583;451;439;573
0;0;0;90;583;453;438;574
0;0;0;90;585;454;438;575
0;0;0;90;586;453;438;573
0;0;0;90;584;452;435;574
0;0;0;90;585;452;437;574
0;0;0;90;582;453;437;573
0;0;0;90;583;452;437;574
0;0;0;90;583;454;439;573
0;0;0;90;584;454;438;575
0;0;0;90;585;454;438;573
0;0;0;90;585;454;439;577
0;0;0;90;586;452;438;573
0;0;0;90;583;453;436;575
0;0;0;90;584;453;440;575
0;0;0;90;587;453;438;575
0;0;0;90;585;453;436;572
0;0;0;90;582;453;438;573
0;0;0;90;584;453;438;573
0;0;0;90;584;453;440;575
0;0;0;90;582;451;438;575
0;0;0;90;584;455;439;576
0;0;0;90;583;452;439;573
0;0;0;90;582;451;438;573
0;0;0;90;585;452;440;575
0;0;0;90;585;452;439;575
0;0;0;90;584;455;438;573
0;0;0;90;584;451;437;574
0;0;0;90;585;455;436;574
0;0;0;90;583;452;439;574
0;0;0;90;584;454;438;574
0;0;0;90;587;453;438;577
0;0;0;90;584;453;438;574
0;0;0;90;583;452;438;575
0;0;0;90;585;453;440;575
0;0;0;90;584;453;439;573
0;0;0;90;583;452;438;570
0;0;0;90;584;453;437;575
0;0;0;90;586;454;437;574
0;0;0;90;584;454;437;574
0;0;0;90;584;453;438;574
0;0;0;90;582;455;436;577
0;0;0;90;584;454;437;572
0;0;0;90;582;452;437;575
0;0;0;90;584;453;438;574
0;0;0;90;582;454;437;575
0;0;0;90;587;452;435;574
0;0;0;90;583;453;440;575
0;0;0;90;583;453;440;576
0;0;0;90;583;451;435;573
0;0;0;90;584;453;437;574
0;0;0;90;584;454;439;574
0;0;0;90;585;453;438;575
0;0;0;90;583;455;437;572
0;0;0;90;585;453;441;574
0;0;0;90;587;453;438;575
0;0;0;90;584;451;439;575
0;0;0;90;584;452;436;573
0;0;0;90;586;452;439;575
0;0;0;90;583;452;438;574
0;0;0;90;583;453;438;575
0;0;0;90;585;453;438;576
0;0;0;90;580;454;437;572
0;0;0;90;581;455;437;573
0;0;0;90;585;452;439;575
0;0;0;90;584;453;437;574
0;0;0;90;583;452;438;575
0;0;0;90;584;454;438;575
0;0;0;90;586;452;439;576
0;0;0;90;584;453;438;574
0;0;0;90;582;452;438;574
0;0;0;90;584;452;437;578
0;0;0;90;584;454;438;574
0;0;0;90;585;452;439;573
0;0;0;90;583;456;441;575
0;0;0;90;585;454;438;573
0;0;0;90;585;452;436;577
0;0;0;90;583;454;438;577
0;0;0;90;586;454;440;576
0;0;0;90;584;453;438;574
0;0;0;90;582;452;439;574
0;0;0;90;585;453;439;578
0;0;0;90;586;452;438;574
